table,column,type,description,is_key,table_key,table_granularity,table_denominator,unit,denominator,input_class,source,limitations
dim_date,date_key,str,Stable period key for relationships,True,date_key,one row per published year or survey period,not applicable,not applicable,table-specific,derived metadata,project-derived,Preserve source scope and denominator; do not infer missing dimensions
dim_date,period_start_year,int64,period start year,False,date_key,one row per published year or survey period,not applicable,see table,see table,derived metadata,project-derived,Preserve source scope and denominator; do not infer missing dimensions
dim_date,period_end_year,int64,period end year,False,date_key,one row per published year or survey period,not applicable,see table,see table,derived metadata,project-derived,Preserve source scope and denominator; do not infer missing dimensions
dim_date,is_single_year,bool,is single year,False,date_key,one row per published year or survey period,not applicable,see table,see table,derived metadata,project-derived,Preserve source scope and denominator; do not infer missing dimensions
dim_substance,atc_code,str,ATC code,True,atc_code,one row per included ATC substance,not applicable,code,not applicable,derived metadata,WIdO A10BJ 2024 group export,Preserve source scope and denominator; do not infer missing dimensions
dim_substance,active_ingredient,str,active ingredient,False,atc_code,one row per included ATC substance,not applicable,see table,see table,derived metadata,WIdO A10BJ 2024 group export,Preserve source scope and denominator; do not infer missing dimensions
dim_substance,atc_group,str,atc group,False,atc_code,one row per included ATC substance,not applicable,see table,see table,derived metadata,WIdO A10BJ 2024 group export,Preserve source scope and denominator; do not infer missing dimensions
dim_substance,included_in_mvp,bool,included in mvp,False,atc_code,one row per included ATC substance,not applicable,see table,see table,derived metadata,WIdO A10BJ 2024 group export,Preserve source scope and denominator; do not infer missing dimensions
dim_substance,inclusion_status,str,inclusion status,False,atc_code,one row per included ATC substance,not applicable,see table,see table,derived metadata,WIdO A10BJ 2024 group export,Preserve source scope and denominator; do not infer missing dimensions
fact_wido_observed,date_key,str,Stable period key for relationships,True,date_key + atc_code,Germany x 2024 x active ingredient,GKV outpatient prescriptions billed through covered pharmacies,not applicable,table-specific,observed administrative data,WIdO A10BJ 2024 group export,Preserve source scope and denominator; do not infer missing dimensions
fact_wido_observed,year,int64,Calendar year,False,date_key + atc_code,Germany x 2024 x active ingredient,GKV outpatient prescriptions billed through covered pharmacies,year,not applicable,observed administrative data,WIdO A10BJ 2024 group export,Preserve source scope and denominator; do not infer missing dimensions
fact_wido_observed,atc_code,str,ATC code,True,date_key + atc_code,Germany x 2024 x active ingredient,GKV outpatient prescriptions billed through covered pharmacies,code,not applicable,observed administrative data,WIdO A10BJ 2024 group export,Preserve source scope and denominator; do not infer missing dimensions
fact_wido_observed,active_ingredient,str,active ingredient,False,date_key + atc_code,Germany x 2024 x active ingredient,GKV outpatient prescriptions billed through covered pharmacies,see table,see table,observed administrative data,WIdO A10BJ 2024 group export,Preserve source scope and denominator; do not infer missing dimensions
fact_wido_observed,prescriptions_thousand,float64,prescriptions thousand,False,date_key + atc_code,Germany x 2024 x active ingredient,GKV outpatient prescriptions billed through covered pharmacies,see table,see table,observed administrative data,WIdO A10BJ 2024 group export,Preserve source scope and denominator; do not infer missing dimensions
fact_wido_observed,ddd_thousand,float64,ddd thousand,False,date_key + atc_code,Germany x 2024 x active ingredient,GKV outpatient prescriptions billed through covered pharmacies,see table,see table,observed administrative data,WIdO A10BJ 2024 group export,Preserve source scope and denominator; do not infer missing dimensions
fact_wido_observed,net_cost_thousand_eur,float64,net cost thousand eur,False,date_key + atc_code,Germany x 2024 x active ingredient,GKV outpatient prescriptions billed through covered pharmacies,see table,see table,observed administrative data,WIdO A10BJ 2024 group export,Preserve source scope and denominator; do not infer missing dimensions
fact_wido_observed,net_cost_per_prescription_eur,float64,net cost per prescription eur,False,date_key + atc_code,Germany x 2024 x active ingredient,GKV outpatient prescriptions billed through covered pharmacies,see table,see table,observed administrative data,WIdO A10BJ 2024 group export,Preserve source scope and denominator; do not infer missing dimensions
fact_wido_observed,net_cost_per_ddd_eur,float64,net cost per ddd eur,False,date_key + atc_code,Germany x 2024 x active ingredient,GKV outpatient prescriptions billed through covered pharmacies,see table,see table,observed administrative data,WIdO A10BJ 2024 group export,Preserve source scope and denominator; do not infer missing dimensions
fact_wido_observed,source_id,str,source id,False,date_key + atc_code,Germany x 2024 x active ingredient,GKV outpatient prescriptions billed through covered pharmacies,see table,see table,observed administrative data,WIdO A10BJ 2024 group export,Preserve source scope and denominator; do not infer missing dimensions
fact_wido_observed,input_class,str,input class,False,date_key + atc_code,Germany x 2024 x active ingredient,GKV outpatient prescriptions billed through covered pharmacies,see table,see table,observed administrative data,WIdO A10BJ 2024 group export,Preserve source scope and denominator; do not infer missing dimensions
fact_wido_observed,geography,str,geography,False,date_key + atc_code,Germany x 2024 x active ingredient,GKV outpatient prescriptions billed through covered pharmacies,see table,see table,observed administrative data,WIdO A10BJ 2024 group export,Preserve source scope and denominator; do not infer missing dimensions
fact_wido_observed,denominator,str,denominator,False,date_key + atc_code,Germany x 2024 x active ingredient,GKV outpatient prescriptions billed through covered pharmacies,see table,see table,observed administrative data,WIdO A10BJ 2024 group export,Preserve source scope and denominator; do not infer missing dimensions
fact_wido_observed,observation_status,str,observation status,False,date_key + atc_code,Germany x 2024 x active ingredient,GKV outpatient prescriptions billed through covered pharmacies,see table,see table,observed administrative data,WIdO A10BJ 2024 group export,Preserve source scope and denominator; do not infer missing dimensions
fact_population_observed,date_key,str,Stable period key for relationships,False,reference_date + age_code,Germany x reference date x single year of age or published total,registered resident population at year end,not applicable,table-specific,official population estimate,Destatis 12411-0005,Preserve source scope and denominator; do not infer missing dimensions
fact_population_observed,reference_date,str,reference date,True,reference_date + age_code,Germany x reference date x single year of age or published total,registered resident population at year end,see table,see table,official population estimate,Destatis 12411-0005,Preserve source scope and denominator; do not infer missing dimensions
fact_population_observed,year,int64,Calendar year,False,reference_date + age_code,Germany x reference date x single year of age or published total,registered resident population at year end,year,not applicable,official population estimate,Destatis 12411-0005,Preserve source scope and denominator; do not infer missing dimensions
fact_population_observed,age_code,str,age code,True,reference_date + age_code,Germany x reference date x single year of age or published total,registered resident population at year end,see table,see table,official population estimate,Destatis 12411-0005,Preserve source scope and denominator; do not infer missing dimensions
fact_population_observed,age_label,str,age label,False,reference_date + age_code,Germany x reference date x single year of age or published total,registered resident population at year end,see table,see table,official population estimate,Destatis 12411-0005,Preserve source scope and denominator; do not infer missing dimensions
fact_population_observed,population_persons,int64,Official resident population,False,reference_date + age_code,Germany x reference date x single year of age or published total,registered resident population at year end,persons,registered residents at reference date,official population estimate,Destatis 12411-0005,Preserve source scope and denominator; do not infer missing dimensions
fact_population_observed,unit,str,unit,False,reference_date + age_code,Germany x reference date x single year of age or published total,registered resident population at year end,see table,see table,official population estimate,Destatis 12411-0005,Preserve source scope and denominator; do not infer missing dimensions
fact_population_observed,source_id,str,source id,False,reference_date + age_code,Germany x reference date x single year of age or published total,registered resident population at year end,see table,see table,official population estimate,Destatis 12411-0005,Preserve source scope and denominator; do not infer missing dimensions
fact_population_observed,input_class,str,input class,False,reference_date + age_code,Germany x reference date x single year of age or published total,registered resident population at year end,see table,see table,official population estimate,Destatis 12411-0005,Preserve source scope and denominator; do not infer missing dimensions
fact_population_observed,geography,str,geography,False,reference_date + age_code,Germany x reference date x single year of age or published total,registered resident population at year end,see table,see table,official population estimate,Destatis 12411-0005,Preserve source scope and denominator; do not infer missing dimensions
fact_population_observed,denominator,str,denominator,False,reference_date + age_code,Germany x reference date x single year of age or published total,registered resident population at year end,see table,see table,official population estimate,Destatis 12411-0005,Preserve source scope and denominator; do not infer missing dimensions
fact_population_observed,series_basis,str,series basis,False,reference_date + age_code,Germany x reference date x single year of age or published total,registered resident population at year end,see table,see table,official population estimate,Destatis 12411-0005,Preserve source scope and denominator; do not infer missing dimensions
fact_obesity_observed,date_key,str,Stable period key for relationships,True,date_key,Germany x published survey period x total adult stratum,weighted adult survey population,not applicable,table-specific,official survey estimate,"RKI Table 2, DOI 10.25646/12990",Preserve source scope and denominator; do not infer missing dimensions
fact_obesity_observed,period_start_year,int64,period start year,False,date_key,Germany x published survey period x total adult stratum,weighted adult survey population,see table,see table,official survey estimate,"RKI Table 2, DOI 10.25646/12990",Preserve source scope and denominator; do not infer missing dimensions
fact_obesity_observed,period_end_year,int64,period end year,False,date_key,Germany x published survey period x total adult stratum,weighted adult survey population,see table,see table,official survey estimate,"RKI Table 2, DOI 10.25646/12990",Preserve source scope and denominator; do not infer missing dimensions
fact_obesity_observed,estimate_pct,float64,Published prevalence estimate,False,date_key,Germany x published survey period x total adult stratum,weighted adult survey population,percent,weighted adult survey population,official survey estimate,"RKI Table 2, DOI 10.25646/12990",Preserve source scope and denominator; do not infer missing dimensions
fact_obesity_observed,ci95_lower_pct,float64,ci95 lower pct,False,date_key,Germany x published survey period x total adult stratum,weighted adult survey population,see table,see table,official survey estimate,"RKI Table 2, DOI 10.25646/12990",Preserve source scope and denominator; do not infer missing dimensions
fact_obesity_observed,ci95_upper_pct,float64,ci95 upper pct,False,date_key,Germany x published survey period x total adult stratum,weighted adult survey population,see table,see table,official survey estimate,"RKI Table 2, DOI 10.25646/12990",Preserve source scope and denominator; do not infer missing dimensions
fact_obesity_observed,indicator,str,indicator,False,date_key,Germany x published survey period x total adult stratum,weighted adult survey population,see table,see table,official survey estimate,"RKI Table 2, DOI 10.25646/12990",Preserve source scope and denominator; do not infer missing dimensions
fact_obesity_observed,population,str,population,False,date_key,Germany x published survey period x total adult stratum,weighted adult survey population,see table,see table,official survey estimate,"RKI Table 2, DOI 10.25646/12990",Preserve source scope and denominator; do not infer missing dimensions
fact_obesity_observed,stratum,str,stratum,False,date_key,Germany x published survey period x total adult stratum,weighted adult survey population,see table,see table,official survey estimate,"RKI Table 2, DOI 10.25646/12990",Preserve source scope and denominator; do not infer missing dimensions
fact_obesity_observed,unit,str,unit,False,date_key,Germany x published survey period x total adult stratum,weighted adult survey population,see table,see table,official survey estimate,"RKI Table 2, DOI 10.25646/12990",Preserve source scope and denominator; do not infer missing dimensions
fact_obesity_observed,source_id,str,source id,False,date_key,Germany x published survey period x total adult stratum,weighted adult survey population,see table,see table,official survey estimate,"RKI Table 2, DOI 10.25646/12990",Preserve source scope and denominator; do not infer missing dimensions
fact_obesity_observed,input_class,str,input class,False,date_key,Germany x published survey period x total adult stratum,weighted adult survey population,see table,see table,official survey estimate,"RKI Table 2, DOI 10.25646/12990",Preserve source scope and denominator; do not infer missing dimensions
fact_obesity_observed,geography,str,geography,False,date_key,Germany x published survey period x total adult stratum,weighted adult survey population,see table,see table,official survey estimate,"RKI Table 2, DOI 10.25646/12990",Preserve source scope and denominator; do not infer missing dimensions
fact_obesity_observed,denominator,str,denominator,False,date_key,Germany x published survey period x total adult stratum,weighted adult survey population,see table,see table,official survey estimate,"RKI Table 2, DOI 10.25646/12990",Preserve source scope and denominator; do not infer missing dimensions
fact_obesity_observed,method_note,str,method note,False,date_key,Germany x published survey period x total adult stratum,weighted adult survey population,see table,see table,official survey estimate,"RKI Table 2, DOI 10.25646/12990",Preserve source scope and denominator; do not infer missing dimensions
