age_code_official,age_label_official,age_years,age_group,is_age_total
ALT000,unter 1 Jahr,0.0,0-17,False
ALT001,1-Jährige,1.0,0-17,False
ALT002,2-Jährige,2.0,0-17,False
ALT003,3-Jährige,3.0,0-17,False
ALT004,4-Jährige,4.0,0-17,False
ALT005,5-Jährige,5.0,0-17,False
ALT006,6-Jährige,6.0,0-17,False
ALT007,7-Jährige,7.0,0-17,False
ALT008,8-Jährige,8.0,0-17,False
ALT009,9-Jährige,9.0,0-17,False
ALT010,10-Jährige,10.0,0-17,False
ALT011,11-Jährige,11.0,0-17,False
ALT012,12-Jährige,12.0,0-17,False
ALT013,13-Jährige,13.0,0-17,False
ALT014,14-Jährige,14.0,0-17,False
ALT015,15-Jährige,15.0,0-17,False
ALT016,16-Jährige,16.0,0-17,False
ALT017,17-Jährige,17.0,0-17,False
ALT018,18-Jährige,18.0,18-29,False
ALT019,19-Jährige,19.0,18-29,False
ALT020,20-Jährige,20.0,18-29,False
ALT021,21-Jährige,21.0,18-29,False
ALT022,22-Jährige,22.0,18-29,False
ALT023,23-Jährige,23.0,18-29,False
ALT024,24-Jährige,24.0,18-29,False
ALT025,25-Jährige,25.0,18-29,False
ALT026,26-Jährige,26.0,18-29,False
ALT027,27-Jährige,27.0,18-29,False
ALT028,28-Jährige,28.0,18-29,False
ALT029,29-Jährige,29.0,18-29,False
ALT030,30-Jährige,30.0,30-44,False
ALT031,31-Jährige,31.0,30-44,False
ALT032,32-Jährige,32.0,30-44,False
ALT033,33-Jährige,33.0,30-44,False
ALT034,34-Jährige,34.0,30-44,False
ALT035,35-Jährige,35.0,30-44,False
ALT036,36-Jährige,36.0,30-44,False
ALT037,37-Jährige,37.0,30-44,False
ALT038,38-Jährige,38.0,30-44,False
ALT039,39-Jährige,39.0,30-44,False
ALT040,40-Jährige,40.0,30-44,False
ALT041,41-Jährige,41.0,30-44,False
ALT042,42-Jährige,42.0,30-44,False
ALT043,43-Jährige,43.0,30-44,False
ALT044,44-Jährige,44.0,30-44,False
ALT045,45-Jährige,45.0,45-64,False
ALT046,46-Jährige,46.0,45-64,False
ALT047,47-Jährige,47.0,45-64,False
ALT048,48-Jährige,48.0,45-64,False
ALT049,49-Jährige,49.0,45-64,False
ALT050,50-Jährige,50.0,45-64,False
ALT051,51-Jährige,51.0,45-64,False
ALT052,52-Jährige,52.0,45-64,False
ALT053,53-Jährige,53.0,45-64,False
ALT054,54-Jährige,54.0,45-64,False
ALT055,55-Jährige,55.0,45-64,False
ALT056,56-Jährige,56.0,45-64,False
ALT057,57-Jährige,57.0,45-64,False
ALT058,58-Jährige,58.0,45-64,False
ALT059,59-Jährige,59.0,45-64,False
ALT060,60-Jährige,60.0,45-64,False
ALT061,61-Jährige,61.0,45-64,False
ALT062,62-Jährige,62.0,45-64,False
ALT063,63-Jährige,63.0,45-64,False
ALT064,64-Jährige,64.0,45-64,False
ALT065,65-Jährige,65.0,65-74,False
ALT066,66-Jährige,66.0,65-74,False
ALT067,67-Jährige,67.0,65-74,False
ALT068,68-Jährige,68.0,65-74,False
ALT069,69-Jährige,69.0,65-74,False
ALT070,70-Jährige,70.0,65-74,False
ALT071,71-Jährige,71.0,65-74,False
ALT072,72-Jährige,72.0,65-74,False
ALT073,73-Jährige,73.0,65-74,False
ALT074,74-Jährige,74.0,65-74,False
ALT075,75-Jährige,75.0,75-84,False
ALT076,76-Jährige,76.0,75-84,False
ALT077,77-Jährige,77.0,75-84,False
ALT078,78-Jährige,78.0,75-84,False
ALT079,79-Jährige,79.0,75-84,False
ALT080,80-Jährige,80.0,75-84,False
ALT081,81-Jährige,81.0,75-84,False
ALT082,82-Jährige,82.0,75-84,False
ALT083,83-Jährige,83.0,75-84,False
ALT084,84-Jährige,84.0,75-84,False
ALT085,85-Jährige,85.0,85-89,False
ALT086,86-Jährige,86.0,85-89,False
ALT087,87-Jährige,87.0,85-89,False
ALT088,88-Jährige,88.0,85-89,False
ALT089,89-Jährige,89.0,85-89,False
ALT090UM,90 Jahre und mehr,90.0,90+,False
TOTAL,Insgesamt,,Total,True
