reference_date,year,state_code,sex_code,age_group,census_basis,population_persons
2021-12-31,2021,01,F,0-17,Census 2011 basis,231520
2021-12-31,2021,01,F,18-29,Census 2011 basis,177946
2021-12-31,2021,01,F,30-44,Census 2011 basis,257935
2021-12-31,2021,01,F,45-64,Census 2011 basis,442983
2021-12-31,2021,01,F,65-74,Census 2011 basis,172194
2021-12-31,2021,01,F,75-84,Census 2011 basis,147114
2021-12-31,2021,01,F,85-89,Census 2011 basis,39876
2021-12-31,2021,01,F,90+,Census 2011 basis,21373
2021-12-31,2021,01,M,0-17,Census 2011 basis,244276
2021-12-31,2021,01,M,18-29,Census 2011 basis,193758
2021-12-31,2021,01,M,30-44,Census 2011 basis,259436
2021-12-31,2021,01,M,45-64,Census 2011 basis,427973
2021-12-31,2021,01,M,65-74,Census 2011 basis,154814
2021-12-31,2021,01,M,75-84,Census 2011 basis,117050
2021-12-31,2021,01,M,85-89,Census 2011 basis,25046
2021-12-31,2021,01,M,90+,Census 2011 basis,8711
2021-12-31,2021,02,F,0-17,Census 2011 basis,153323
2021-12-31,2021,02,F,18-29,Census 2011 basis,143604
2021-12-31,2021,02,F,30-44,Census 2011 basis,213457
2021-12-31,2021,02,F,45-64,Census 2011 basis,244312
2021-12-31,2021,02,F,65-74,Census 2011 basis,84129
2021-12-31,2021,02,F,75-84,Census 2011 basis,74218
2021-12-31,2021,02,F,85-89,Census 2011 basis,21104
2021-12-31,2021,02,F,90+,Census 2011 basis,12106
2021-12-31,2021,02,M,0-17,Census 2011 basis,162547
2021-12-31,2021,02,M,18-29,Census 2011 basis,143351
2021-12-31,2021,02,M,30-44,Census 2011 basis,213140
2021-12-31,2021,02,M,45-64,Census 2011 basis,243663
2021-12-31,2021,02,M,65-74,Census 2011 basis,71931
2021-12-31,2021,02,M,75-84,Census 2011 basis,55761
2021-12-31,2021,02,M,85-89,Census 2011 basis,12391
2021-12-31,2021,02,M,90+,Census 2011 basis,4898
2021-12-31,2021,03,F,0-17,Census 2011 basis,656203
2021-12-31,2021,03,F,18-29,Census 2011 basis,514685
2021-12-31,2021,03,F,30-44,Census 2011 basis,709162
2021-12-31,2021,03,F,45-64,Census 2011 basis,1182388
2021-12-31,2021,03,F,65-74,Census 2011 basis,465773
2021-12-31,2021,03,F,75-84,Census 2011 basis,367565
2021-12-31,2021,03,F,85-89,Census 2011 basis,107836
2021-12-31,2021,03,F,90+,Census 2011 basis,60472
2021-12-31,2021,03,M,0-17,Census 2011 basis,694514
2021-12-31,2021,03,M,18-29,Census 2011 basis,566926
2021-12-31,2021,03,M,30-44,Census 2011 basis,731266
2021-12-31,2021,03,M,45-64,Census 2011 basis,1164790
2021-12-31,2021,03,M,65-74,Census 2011 basis,427734
2021-12-31,2021,03,M,75-84,Census 2011 basis,289054
2021-12-31,2021,03,M,85-89,Census 2011 basis,65026
2021-12-31,2021,03,M,90+,Census 2011 basis,23637
2021-12-31,2021,04,F,0-17,Census 2011 basis,54778
2021-12-31,2021,04,F,18-29,Census 2011 basis,49783
2021-12-31,2021,04,F,30-44,Census 2011 basis,64944
