table,column,type,source,description,denominator,limitations
fact_population_state_age_sex,reference_date,datetime64[us],DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
fact_population_state_age_sex,year,int16,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
fact_population_state_age_sex,state_code,str,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
fact_population_state_age_sex,sex_code,str,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
fact_population_state_age_sex,age_code_official,str,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
fact_population_state_age_sex,age_years,float64,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
fact_population_state_age_sex,age_group,string,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
fact_population_state_age_sex,population_persons,int64,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
fact_population_state_age_sex,unit,str,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
fact_population_state_age_sex,quality_flag,str,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
fact_population_state_age_sex,census_basis,str,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
fact_population_state_age_sex,series_break_before,bool,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
fact_population_state_age_sex,source_id,str,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
fact_population_state_age_sex,input_class,str,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
fact_population_state_age_sex,denominator,str,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
population_age_sex_summary,reference_date,datetime64[us],DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
population_age_sex_summary,year,int16,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
population_age_sex_summary,state_code,str,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
population_age_sex_summary,sex_code,str,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
population_age_sex_summary,age_group,string,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
population_age_sex_summary,census_basis,str,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
population_age_sex_summary,population_persons,int64,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
population_state_summary,reference_date,datetime64[us],DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
population_state_summary,year,int16,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
population_state_summary,state_code,str,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
population_state_summary,population_persons,int64,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
population_state_summary,census_basis,str,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
population_state_summary,national_share_pct,float64,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
population_state_summary,population_rank,int16,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
dim_date_hero,reference_date,datetime64[us],DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
dim_date_hero,year,int16,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
dim_date_hero,census_basis,str,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
dim_date_hero,series_break_before,bool,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
dim_geography,state_code,str,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
dim_geography,state_name,str,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
dim_sex,sex_code,str,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
dim_sex,sex_label,str,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
dim_sex,is_sex_total,bool,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
dim_age,age_code_official,str,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
dim_age,age_label_official,str,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
dim_age,age_years,float64,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
dim_age,age_group,string,DESTATIS-12411-0013,official or derived population field,registered resident population at year end,Not GKV insured or clinically eligible population; preserve census basis
