reference_date,year,state_code,population_persons,census_basis,national_share_pct,population_rank
2021-12-31,2021,01,2922005,Census 2011 basis,3.5104588668873276,9
2021-12-31,2021,02,1853935,Census 2011 basis,2.2272934370005384,13
2021-12-31,2021,03,8027031,Census 2011 basis,9.643570818232499,4
2021-12-31,2021,04,676463,Census 2011 basis,0.8126938648192602,16
2021-12-31,2021,05,17924591,Census 2011 basis,21.5343708896045,1
2021-12-31,2021,06,6295017,Census 2011 basis,7.562751687576327,5
2021-12-31,2021,07,4106485,Census 2011 basis,4.933477759274816,6
2021-12-31,2021,08,11124642,Census 2011 basis,13.36500045340346,3
2021-12-31,2021,09,13176989,Census 2011 basis,15.830663490968286,2
2021-12-31,2021,10,982348,Census 2011 basis,1.1801801321246994,15
2021-12-31,2021,11,3677472,Census 2011 basis,4.418067111497029,8
2021-12-31,2021,12,2537868,Census 2011 basis,3.048961662827274,10
2021-12-31,2021,13,1611160,Census 2011 basis,1.9356267042575859,14
2021-12-31,2021,14,4043002,Census 2011 basis,4.857210107355463,7
2021-12-31,2021,15,2169253,Census 2011 basis,2.606112388025324,11
2021-12-31,2021,16,2108863,Census 2011 basis,2.5335606261456127,12
2022-12-31,2022,01,2939283,Census 2022 basis,3.536256025598922,9
2022-12-31,2022,02,1832675,Census 2022 basis,2.204894190765062,13
2022-12-31,2022,03,7982947,Census 2022 basis,9.604296160249568,4
2022-12-31,2022,04,695758,Census 2022 basis,0.8370675500993454,16
2022-12-31,2022,05,17964420,Census 2022 basis,21.613022111647563,1
2022-12-31,2022,06,6236933,Census 2022 basis,7.503663955633656,5
2022-12-31,2022,07,4108555,Census 2022 basis,4.943009017932121,6
2022-12-31,2022,08,11167721,Census 2022 basis,13.435902796177713,3
2022-12-31,2022,09,13105221,Census 2022 basis,15.766912110217193,2
2022-12-31,2022,10,1011891,Census 2022 basis,1.2174076623446324,15
2022-12-31,2022,11,3632853,Census 2022 basis,4.3706911894380776,8
2022-12-31,2022,12,2545159,Census 2022 basis,3.0620848179155686,10
2022-12-31,2022,13,1576049,Census 2022 basis,1.8961470443265092,14
2022-12-31,2022,14,4049967,Census 2022 basis,4.87252170247873,7
2022-12-31,2022,15,2150239,Census 2022 basis,2.5869559413733896,11
2022-12-31,2022,16,2118830,Census 2022 basis,2.549167723801949,12
2023-12-31,2023,01,2953202,Census 2022 basis,3.538631623389294,9
2023-12-31,2023,02,1851596,Census 2022 basis,2.218648151850474,13
2023-12-31,2023,03,8008135,Census 2022 basis,9.595632047984061,4
2023-12-31,2023,04,702655,Census 2022 basis,0.8419462005418541,16
2023-12-31,2023,05,18017520,Census 2022 basis,21.589232990851652,1
2023-12-31,2023,06,6267546,Census 2022 basis,7.509996429857178,5
2023-12-31,2023,07,4125163,Census 2022 basis,4.942916957064044,6
2023-12-31,2023,08,11230740,Census 2022 basis,13.45707192331005,3
2023-12-31,2023,09,13176426,Census 2022 basis,15.788462058080993,2
2023-12-31,2023,10,1014047,Census 2022 basis,1.2150671649968554,15
2023-12-31,2023,11,3662381,Census 2022 basis,4.3883951126608025,8
2023-12-31,2023,12,2554464,Census 2022 basis,3.060849576564526,10
2023-12-31,2023,13,1578041,Census 2022 basis,1.8908648259092558,14
2023-12-31,2023,14,4054689,Census 2022 basis,4.858472504897638,7
2023-12-31,2023,15,2144570,Census 2022 basis,2.5697000139414707,11
2023-12-31,2023,16,2114870,Census 2022 basis,2.534112418099851,12
2024-12-31,2024,01,2959517,Census 2022 basis,3.5410603904369067,9
2024-12-31,2024,02,1862565,Census 2022 basis,2.228557952569327,13
